split,source_mp4,wav_path,fine_label,mapped_label
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/acXGvTAOKx0_000115.mp4,train_chunk/acXGvTAOKx0_000115-00.wav,fire crackling,fire
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/acXGvTAOKx0_000115.mp4,train_chunk/acXGvTAOKx0_000115-01.wav,fire crackling,fire
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/acXGvTAOKx0_000115.mp4,train_chunk/acXGvTAOKx0_000115-02.wav,fire crackling,fire
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/-2Fbw2plADY_000030.mp4,train_chunk/-2Fbw2plADY_000030-00.wav,people whispering,speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/-2Fbw2plADY_000030.mp4,train_chunk/-2Fbw2plADY_000030-01.wav,people whispering,speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/-A0iftflme4_000044.mp4,train_chunk/-A0iftflme4_000044-00.wav,rapping,speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/-A0iftflme4_000044.mp4,train_chunk/-A0iftflme4_000044-01.wav,rapping,speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/-A0iftflme4_000044.mp4,train_chunk/-A0iftflme4_000044-02.wav,rapping,speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/WGaAaenMIes_000000.mp4,train_chunk/WGaAaenMIes_000000-00.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/WGaAaenMIes_000000.mp4,train_chunk/WGaAaenMIes_000000-01.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/WGaAaenMIes_000000.mp4,train_chunk/WGaAaenMIes_000000-02.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/NXdyIjnzMQQ_000310.mp4,train_chunk/NXdyIjnzMQQ_000310-00.wav,playing piano,piano
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/NXdyIjnzMQQ_000310.mp4,train_chunk/NXdyIjnzMQQ_000310-01.wav,playing piano,piano
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/NXdyIjnzMQQ_000310.mp4,train_chunk/NXdyIjnzMQQ_000310-02.wav,playing piano,piano
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/1s6xOx6Az-Q_000030.mp4,train_chunk/1s6xOx6Az-Q_000030-00.wav,"male speech, man speaking",speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/1s6xOx6Az-Q_000030.mp4,train_chunk/1s6xOx6Az-Q_000030-01.wav,"male speech, man speaking",speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/1s6xOx6Az-Q_000030.mp4,train_chunk/1s6xOx6Az-Q_000030-02.wav,"male speech, man speaking",speech
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/VR7ClP11uWg_000001.mp4,train_chunk/VR7ClP11uWg_000001-00.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/VR7ClP11uWg_000001.mp4,train_chunk/VR7ClP11uWg_000001-01.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/VR7ClP11uWg_000001.mp4,train_chunk/VR7ClP11uWg_000001-02.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/T45iRSvxaVM_000083.mp4,train_chunk/T45iRSvxaVM_000083-00.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/T45iRSvxaVM_000083.mp4,train_chunk/T45iRSvxaVM_000083-01.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/T45iRSvxaVM_000083.mp4,train_chunk/T45iRSvxaVM_000083-02.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/49Z9l5j9cUc_000039.mp4,train_chunk/49Z9l5j9cUc_000039-00.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/49Z9l5j9cUc_000039.mp4,train_chunk/49Z9l5j9cUc_000039-01.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/49Z9l5j9cUc_000039.mp4,train_chunk/49Z9l5j9cUc_000039-02.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/9qQ1epqNq-I_000468.mp4,train_chunk/9qQ1epqNq-I_000468-00.wav,footsteps on snow,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/9qQ1epqNq-I_000468.mp4,train_chunk/9qQ1epqNq-I_000468-01.wav,footsteps on snow,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/9qQ1epqNq-I_000468.mp4,train_chunk/9qQ1epqNq-I_000468-02.wav,footsteps on snow,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/jofRLi0tu5E_000015.mp4,train_chunk/jofRLi0tu5E_000015-00.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/jofRLi0tu5E_000015.mp4,train_chunk/jofRLi0tu5E_000015-01.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/jofRLi0tu5E_000015.mp4,train_chunk/jofRLi0tu5E_000015-02.wav,car engine knocking,engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/OXQW9ekhj7M_000016.mp4,train_chunk/OXQW9ekhj7M_000016-00.wav,ambulance siren,alarm
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/OXQW9ekhj7M_000016.mp4,train_chunk/OXQW9ekhj7M_000016-01.wav,ambulance siren,alarm
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/VvVLOtSMI40_000150.mp4,train_chunk/VvVLOtSMI40_000150-00.wav,"race car, auto racing",engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/VvVLOtSMI40_000150.mp4,train_chunk/VvVLOtSMI40_000150-01.wav,"race car, auto racing",engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/VvVLOtSMI40_000150.mp4,train_chunk/VvVLOtSMI40_000150-02.wav,"race car, auto racing",engine
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/V20_LoFlpk4_000128.mp4,train_chunk/V20_LoFlpk4_000128-00.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/V20_LoFlpk4_000128.mp4,train_chunk/V20_LoFlpk4_000128-01.wav,tap dancing,footsteps
train,/home/wakamatsu/DataSets2/VGG_Sub10/video/V20_LoFlpk4_000128.mp4,train_chunk/V20_LoFlpk4_000128-02.wav,tap dancing,footsteps
